chip.sample001.tsv	chip.sample002.tsv	chip.sample003.tsv	chip.sample004.tsv	chip.sample005.tsv	chip.sample006.tsv	chip.sample007.tsv	chip.sample008.tsv	chip.sample009.tsv	chip.sample010.tsv	chip.sample011.tsv	chip.sample012.tsv	chip.sample013.tsv	chip.sample014.tsv	chip.sample015.tsv	chip.sample016.tsv	chip.sample017.tsv	chip.sample018.tsv	chip.sample019.tsv	chip.sample020.tsv	chip.sample021.tsv	chip.sample022.tsv	chip.sample023.tsv	chip.sample024.tsv	chip.sample025.tsv	chip.sample026.tsv	chip.sample027.tsv	chip.sample028.tsv	chip.sample029.tsv	chip.sample030.tsv	chip.sample031.tsv	chip.sample032.tsv	chip.sample033.tsv	chip.sample034.tsv	chip.sample035.tsv	chip.sample036.tsv	chip.sample037.tsv	chip.sample038.tsv	chip.sample039.tsv	chip.sample040.tsv	chip.sample041.tsv	chip.sample042.tsv	chip.sample043.tsv	chip.sample044.tsv	chip.sample045.tsv	chip.sample046.tsv	chip.sample047.tsv	chip.sample048.tsv	chip.sample049.tsv	chip.sample050.tsv	chip.sample051.tsv	chip.sample052.tsv	chip.sample053.tsv	chip.sample054.tsv	chip.sample055.tsv	chip.sample056.tsv	chip.sample057.tsv	chip.sample058.tsv	chip.sample059.tsv	chip.sample060.tsv	chip.sample061.tsv	chip.sample062.tsv	chip.sample063.tsv	chip.sample064.tsv	chip.sample065.tsv	chip.sample066.tsv	chip.sample067.tsv	chip.sample068.tsv	chip.sample069.tsv	chip.sample070.tsv	chip.sample071.tsv	chip.sample072.tsv	chip.sample073.tsv	chip.sample074.tsv	chip.sample075.tsv	chip.sample076.tsv	chip.sample077.tsv	chip.sample078.tsv	chip.sample079.tsv	chip.sample080.tsv	chip.sample081.tsv	chip.sample082.tsv	chip.sample083.tsv	chip.sample084.tsv	chip.sample085.tsv	chip.sample086.tsv	chip.sample087.tsv	chip.sample088.tsv	chip.sample089.tsv	chip.sample090.tsv	chip.sample091.tsv	chip.sample092.tsv	chip.sample093.tsv	chip.sample094.tsv	chip.sample095.tsv	chip.sample096.tsv	chip.sample097.tsv	chip.sample098.tsv	chip.sample099.tsv	chip.sample100.tsv	chip.sample101.tsv	chip.sample102.tsv	chip.sample103.tsv	chip.sample104.tsv	chip.sample105.tsv	chip.sample106.tsv	chip.sample107.tsv	chip.sample108.tsv	chip.sample109.tsv	chip.sample110.tsv	chip.sample111.tsv	chip.sample112.tsv	chip.sample113.tsv	chip.sample114.tsv	chip.sample115.tsv	chip.sample116.tsv	chip.sample117.tsv	chip.sample118.tsv	chip.sample119.tsv	chip.sample120.tsv	chip.sample121.tsv	chip.sample122.tsv	chip.sample123.tsv	chip.sample124.tsv	chip.sample125.tsv	chip.sample126.tsv	chip.sample127.tsv	chip.sample128.tsv	chip.sample129.tsv	chip.sample130.tsv	chip.sample131.tsv	chip.sample132.tsv	chip.sample133.tsv	chip.sample134.tsv	chip.sample135.tsv	chip.sample136.tsv	chip.sample137.tsv	chip.sample138.tsv	chip.sample139.tsv	chip.sample140.tsv	chip.sample141.tsv	chip.sample142.tsv	chip.sample143.tsv	chip.sample144.tsv	chip.sample145.tsv	chip.sample146.tsv	chip.sample147.tsv	chip.sample148.tsv	chip.sample149.tsv	chip.sample150.tsv	chip.sample151.tsv	chip.sample152.tsv	chip.sample153.tsv	chip.sample154.tsv	chip.sample155.tsv
hsa-let-7a-5p	53522	114190	30573	89870	10454	45008	26033	40918	95989	63981	52854	20708	24925	204192	78534	50577	26384	96101	30795	57089	53292	20072	45404	99428	2985	34928	175836	69566	102625	64438	41024	62440	7677	61943	5073	80905	135676	109873	24226	152900	109501	132671	26371	14616	107241	41524	83615	49621	35983	52091	28358	111655	31822	10143	42957	76621	19954	47161	41739	42673	73486	3950	41588	98768	23279	73355	31373	39391	105269	88393	83394	118572	50878	66029	48778	48808	182610	4725	36459	38116	22244	66361	20070	48910	78129	11315	138235	43097	85068	81893	45009	31468	6267	57541	6739	27523	19388	21613	64272	62291	37332	169141	93529	40559	35847	24611	64538	57540	25301	38382	86881	68588	46856	47457	53100	198549	89714	21480	45412	52652	90042	92212	28809	58439	133124	67038	38944	31040	105786	5056	23133	176190	18476	41188	273204	106079	91316	121223	128402	68706	22131	82005	78822	75954	26173	13004	166529	13451	40988	144585	67588	40861	32944	17488	58280
hsa-let-7b-5p	62638	215776	32399	281650	17961	87971	46503	58784	149420	98101	63712	47925	85814	146848	133718	30184	35054	120363	52518	76243	77519	27023	46244	243404	4891	41519	300862	209723	130249	186963	49194	142655	8364	106385	14687	96373	282288	107593	42135	184770	179126	126895	37626	30346	162430	88385	68549	82197	64639	68256	49294	179328	34947	30908	39930	98069	37988	129409	56806	61897	108464	11915	60513	142839	40594	169427	54895	61458	110946	152211	111622	108317	73600	84700	53908	67518	237101	6598	65837	59043	43281	110979	43220	57457	84045	19293	197092	135993	106922	90366	55923	59116	9493	54149	11311	38574	35821	26029	79488	83879	54942	312324	166811	34846	55691	16518	92364	90244	82404	68323	145887	121121	81075	68102	140372	199456	99648	40499	82376	89720	157394	132655	60347	206690	273228	194432	75954	46063	81254	4267	31526	103787	44445	41878	250386	69918	137464	117430	212548	122124	28003	107152	197352	78144	51705	17106	144655	14059	46846	271725	113975	44938	42703	25938	80744
hsa-let-7c-5p	1451	1463	486	1279	199	889	854	792	2848	1234	947	141	873	3287	1437	149	312	2103	620	916	1066	397	441	2013	33	744	3195	1799	3548	960	267	990	98	1861	117	2596	1223	1542	439	1717	3748	2024	726	238	1354	881	555	1291	208	407	311	1489	390	355	633	747	181	4926	795	1654	1208	124	963	2845	351	1840	743	870	1312	1256	755	992	2231	1240	828	873	3542	30	1032	791	295	2040	1300	1204	897	203	3284	484	1180	2241	1061	718	88	830	150	936	265	207	1228	1101	810	1787	1014	1023	625	292	713	849	757	1598	2667	1906	1983	602	1358	2095	1297	921	696	1385	1301	1129	289	1819	1677	1554	1673	1277	1047	86	500	1974	488	1124	1101	2551	1188	2632	1310	1140	336	1611	1931	786	1316	102	2675	376	1053	4573	1479	690	877	555	848
hsa-let-7d-3p	496	548	213	165	30	161	231	222	371	180	56	53	37	343	162	0	106	390	302	88	325	464	435	150	58	298	325	275	538	267	1226	192	32	597	0	239	452	466	378	1303	1192	135	109	53	585	88	87	223	130	195	0	435	519	160	110	360	869	183	381	282	325	18	387	228	294	321	142	262	178	210	177	411	329	190	268	296	487	22	477	306	151	294	204	381	534	278	574	111	413	457	218	405	83	96	55	365	49	258	435	14	249	244	282	110	145	171	1107	551	94	185	299	148	368	205	718	701	327	194	192	193	444	122	267	265	210	137	398	467	1267	37	118	335	38	853	189	181	706	925	1397	117	85	259	529	126	6	211	131	144	523	522	140	287	306	100	278
hsa-let-7d-5p	1448	3212	1345	3119	372	1938	514	1043	1873	1773	1017	205	587	2641	1565	1525	894	1925	639	1241	3357	2023	3322	1587	184	1634	1987	1866	1494	3782	6249	1864	286	1839	24	1672	6064	5706	1605	5157	3882	2973	385	315	3626	1352	1429	1855	764	1743	707	4476	2087	126	786	3024	2614	608	942	549	2748	184	1807	1285	1225	2614	835	1419	891	3071	1472	2841	1587	1118	2230	2569	3183	180	1320	1297	422	1250	474	1069	1882	103	2068	1809	1760	1591	1135	1455	333	795	206	712	304	1314	966	562	689	2202	1692	986	1192	2464	3388	2872	875	845	1052	1028	890	696	2210	4529	1535	816	1321	1184	2903	1583	1488	586	2587	2113	1150	1412	8433	191	654	2352	405	1224	10193	1576	2389	3358	6413	1652	1149	1769	1564	1570	399	1449	1869	512	1975	3223	1083	1572	708	594	1738
hsa-let-7e-5p	1532	1079	321	327	68	377	641	393	1968	853	2141	234	188	5329	1065	475	294	2055	474	691	587	557	396	1784	97	422	2702	780	5152	113	404	422	63	776	59	1831	531	1036	597	1718	2992	2010	561	401	2072	501	1449	1279	230	367	304	896	892	273	911	956	276	1002	1006	766	637	39	622	2402	365	706	485	522	1444	550	646	1522	1460	838	541	610	3394	9	851	534	474	1046	347	1765	959	239	3175	320	1804	2966	533	663	96	1214	116	994	406	305	1514	883	577	2420	1144	924	351	488	532	788	525	662	1363	1723	964	1385	311	5753	983	274	420	1147	457	137	173	396	774	1161	936	799	1305	29	525	4356	381	1519	1205	3173	1022	6866	1917	1010	162	1090	2266	785	427	177	3508	176	561	1995	1090	718	711	173	550
hsa-let-7f-2-3p	8	5	3	0	23	36	29	0	0	43	0	0	0	11	0	0	0	8	0	52	5	8	26	0	0	0	30	0	0	13	9	27	0	20	0	0	9	31	1	0	36	0	0	0	19	0	0	0	0	0	0	16	26	33	13	24	27	12	0	0	5	0	28	22	0	18	0	25	0	12	0	0	16	0	5	12	19	0	39	0	0	19	0	0	31	0	8	4	0	0	6	15	5	0	6	0	0	4	0	26	0	0	0	0	13	16	66	29	0	0	0	0	12	0	64	19	0	13	0	0	0	0	0	0	0	0	11	22	16	0	31	28	0	22	3	21	21	0	46	0	0	0	0	0	67	3	0	1	18	40	0	5	0	17	20
hsa-let-7f-5p	47678	29413	31342	25428	5346	24320	21436	19723	42812	45439	42475	7664	12049	90395	25573	26643	13748	58444	17883	51664	35892	13730	31692	45823	1886	33333	82341	27523	75920	37623	23459	27376	4073	35662	4034	37631	77919	104632	17500	69510	50912	60216	15488	8111	60437	20151	37706	23480	7717	32503	21305	74170	24782	8120	13611	33442	9350	22447	40029	18645	48693	1934	24753	66187	9573	32439	18497	35034	38234	54309	30067	78749	29761	23667	29648	30497	70512	2559	24879	31868	19891	30215	14162	31759	19572	14807	77629	18097	29796	42766	29319	28182	4082	19835	3843	22742	5674	14941	40138	26522	10144	60900	41914	19310	16002	18919	27888	46626	15166	23104	45655	27672	24053	47017	27447	116398	37401	12451	27237	35895	34909	14232	8866	23907	61276	35940	28424	32387	74226	5638	24060	94088	11769	18476	35812	45927	39347	82145	94856	28793	16435	36695	24215	24768	14484	10002	59017	12800	45095	80075	25220	33625	14542	11433	42777
hsa-let-7g-5p	3338	10090	4461	5045	425	6001	1714	2217	5418	3627	2941	1082	1720	7598	4910	6045	2342	5854	4027	6402	8973	3403	11472	1593	321	6415	5918	5696	4195	13425	7561	5066	1034	5253	112	4824	20893	23799	2423	15203	13273	7278	665	733	8117	3899	2944	1868	4899	5463	812	14951	3779	973	2275	10070	5987	1303	2823	1472	12015	645	5442	3652	3343	6075	1806	5717	2444	9377	4008	5133	4182	2569	8303	4155	6343	423	4259	4400	1179	3233	841	3546	8199	162	9798	4829	5667	4468	5295	3463	676	1602	539	1866	333	3757	4373	1995	3538	8473	7278	2150	4000	5955	5108	9264	1446	1272	2394	2923	3131	1151	8771	14641	4303	2906	1748	3478	6001	5577	6781	2790	5886	2908	6314	4618	15189	721	1105	7178	708	4133	10126	5651	7207	9073	9276	2458	4074	5281	3602	5527	1415	2687	4818	1764	3665	8732	3132	5206	2938	2311	4410
hsa-let-7i-3p	5	33	0	3	0	31	0	0	31	0	0	0	36	16	0	0	0	0	32	2	31	12	56	0	0	52	0	27	0	41	52	8	0	13	0	0	48	63	29	117	19	0	0	0	30	7	0	0	0	15	0	65	62	0	0	23	16	0	0	40	44	0	44	0	0	15	18	56	0	0	0	0	10	0	32	14	0	4	36	37	0	0	0	16	15	0	18	20	11	0	30	28	0	0	0	0	18	27	11	0	0	0	6	0	0	26	116	20	12	0	0	0	49	0	24	62	49	12	0	0	56	16	0	0	0	0	11	44	76	12	5	0	56	0	7	0	8	0	16	0	14	0	12	19	62	7	0	10	20	17	0	36	15	9	0
